You are now connected to database "nc_news_test" as user "tommetcalf".
 article_id |                         title                          |    author     | topic | votes 
------------+--------------------------------------------------------+---------------+-------+-------
          1 | Living in the shadow of a great man                    | butter_bridge | mitch |   100
          2 | Sony Vaio; or, The Laptop                              | icellusedkars | mitch |     0
          4 | Student SUES Mitch!                                    | rogersop      | mitch |     0
          5 | UNCOVERED: catspiracy to bring down democracy          | rogersop      | cats  |     0
          6 | A                                                      | icellusedkars | mitch |     0
          7 | Z                                                      | icellusedkars | mitch |     0
          8 | Does Mitch predate civilisation?                       | icellusedkars | mitch |     0
          9 | They're not exactly dogs, are they?                    | butter_bridge | mitch |     0
         10 | Seven inspirational thought leaders from Manchester UK | rogersop      | mitch |     0
         11 | Am I a cat?                                            | icellusedkars | mitch |     0
         12 | Moustache                                              | butter_bridge | mitch |     0
          3 | Eight pug gifs that remind me of mitch                 | icellusedkars | mitch |     5
(12 rows)

 comment_id |                                                                                         body                                                                                         | article_id |    author     | votes |     created_at      
------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-------+---------------------
          1 | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!                                                                                                    |          9 | butter_bridge |    16 | 2020-04-06 13:17:00
          2 | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.                                                   |          1 | butter_bridge |    14 | 2020-10-31 03:03:00
          3 | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works. |          1 | icellusedkars |   100 | 2020-03-01 01:13:00
          4 |  I carry a log — yes. Is it funny to you? It is not to me.                                                                                                                           |          1 | icellusedkars |  -100 | 2020-02-23 12:01:00
          5 | I hate streaming noses                                                                                                                                                               |          1 | icellusedkars |     0 | 2020-11-03 21:00:00
          6 | I hate streaming eyes even more                                                                                                                                                      |          1 | icellusedkars |     0 | 2020-04-11 22:02:00
          7 | Lobster pot                                                                                                                                                                          |          1 | icellusedkars |     0 | 2020-05-15 21:19:00
          8 | Delicious crackerbreads                                                                                                                                                              |          1 | icellusedkars |     0 | 2020-04-14 21:19:00
          9 | Superficially charming                                                                                                                                                               |          1 | icellusedkars |     0 | 2020-01-01 03:08:00
         10 | git push origin master                                                                                                                                                               |          3 | icellusedkars |     0 | 2020-06-20 08:24:00
         11 | Ambidextrous marsupial                                                                                                                                                               |          3 | icellusedkars |     0 | 2020-09-20 00:10:00
         12 | Massive intercranial brain haemorrhage                                                                                                                                               |          1 | icellusedkars |     0 | 2020-03-02 07:10:00
         13 | Fruit pastilles                                                                                                                                                                      |          1 | icellusedkars |     0 | 2020-06-15 11:25:00
         14 | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.                                                                         |          5 | icellusedkars |    16 | 2020-06-09 06:00:00
         15 | I am 100% sure that we're not completely sure.                                                                                                                                       |          5 | butter_bridge |     1 | 2020-11-24 00:08:00
         16 | This is a bad article name                                                                                                                                                           |          6 | butter_bridge |     1 | 2020-10-11 16:23:00
         17 | The owls are not what they seem.                                                                                                                                                     |          9 | icellusedkars |    20 | 2020-03-14 17:02:00
         18 | This morning, I showered for nine minutes.                                                                                                                                           |          1 | butter_bridge |    16 | 2020-07-21 01:20:00
(18 rows)

